Naam;Weging;Industrie;Land
WALMART INC;0,44;Basis-consumentengoederen;Verenigde Staten
PHILIP MORRIS INTERNATIONAL INC;0,27;Basis-consumentengoederen;Verenigde Staten
HONEYWELL INTERNATIONAL INC;0,26;Industrie;Verenigde Staten
LOCKHEED MARTIN CORP;0,21;Industrie;Verenigde Staten
RAYTHEON TECHNOLOGIES CORP;0,2;Industrie;Verenigde Staten
FIDELITY NATIONAL INFORMATION SERV;0,2;IT;Verenigde Staten
TORONTO DOMINION;0,2;Financiële waarden;Canada
BOEING;0,2;Industrie;Verenigde Staten
HSBC HOLDINGS PLC;0,19;Financiële waarden;Verenigd Koninkrijk
BRITISH AMERICAN TOBACCO PLC;0,17;Basis-consumentengoederen;Verenigd Koninkrijk
ALTRIA GROUP INC;0,17;Basis-consumentengoederen;Verenigde Staten
DIAGEO PLC;0,17;Basis-consumentengoederen;Verenigd Koninkrijk
CANADIAN NATIONAL RAILWAY;0,17;Industrie;Canada
BECTON DICKINSON;0,15;Gezondheidszorg;Verenigde Staten
DOMINION ENERGY INC;0,15;Nutsbedrijven;Verenigde Staten
AIR PRODUCTS AND CHEMICALS INC;0,14;Materialen;Verenigde Staten
T MOBILE US INC;0,14;Communicatie;Verenigde Staten
ENBRIDGE INC;0,14;Energie;Canada
BOSTON SCIENTIFIC CORP;0,12;Gezondheidszorg;Verenigde Staten
CHUBB LTD;0,12;Financiële waarden;Verenigde Staten
HONG KONG EXCHANGES AND CLEARING L;0,12;Financiële waarden;Hong Kong
NORTHROP GRUMMAN CORP;0,12;Industrie;Verenigde Staten
FEDEX CORP;0,12;Industrie;Verenigde Staten
AIRBUS GROUP;0,11;Industrie;Frankrijk
ABB LTD;0,11;Industrie;Zwitserland
GLOBAL PAYMENTS INC;0,11;IT;Verenigde Staten
DAIMLER AG;0,1;Luxe-consumentengoederen;Duitsland
PROSUS NV;0,1;Luxe-consumentengoederen;Nederland
WESTPAC BANKING CORPORATION CORP;0,1;Financiële waarden;Australië
ANHEUSER BUSCH INBEV NV;0,1;Basis-consumentengoederen;België
DUPONT DE NEMOURS INC;0,1;Materialen;Verenigde Staten
ROPER TECHNOLOGIES INC;0,1;Industrie;Verenigde Staten
BROOKFIELD ASSET MANAGEMENT INC CL;0,09;Financiële waarden;Canada
DANONE SA;0,09;Basis-consumentengoederen;Frankrijk
L3HARRIS TECHNOLOGIES INC;0,09;Industrie;Verenigde Staten
PRUDENTIAL PLC;0,09;Financiële waarden;Verenigd Koninkrijk
GENERAL DYNAMICS CORP;0,08;Industrie;Verenigde Staten
DIGITAL REALTY TRUST REIT INC;0,08;Vastgoed;Verenigde Staten
SAFRAN SA;0,08;Industrie;Frankrijk
FANUC CORP;0,08;Industrie;Japan
VONOVIA SE;0,08;Vastgoed;Duitsland
PERNOD RICARD SA;0,08;Basis-consumentengoederen;Frankrijk
BANCO SANTANDER SA;0,08;Financiële waarden;Spanje
NIDEC CORP;0,08;Industrie;Japan
EXELON CORP;0,08;Nutsbedrijven;Verenigde Staten
INFINEON TECHNOLOGIES AG;0,07;IT;Duitsland
CANADIAN IMPERIAL BANK OF COMMERCE;0,07;Financiële waarden;Canada
DSV PANALPINA;0,07;Industrie;Denemarken
MIZUHO FINANCIAL GROUP INC;0,07;Financiële waarden;Japan
ING GROEP NV;0,07;Financiële waarden;Nederland
COSTAR GROUP INC;0,07;Industrie;Verenigde Staten
AMPHENOL CORP CLASS A;0,07;IT;Verenigde Staten
TRAVELERS COMPANIES INC;0,07;Financiële waarden;Verenigde Staten
IQVIA HOLDINGS INC;0,07;Gezondheidszorg;Verenigde Staten
UBER TECHNOLOGIES INC;0,07;Industrie;Verenigde Staten
CINTAS CORP;0,07;Industrie;Verenigde Staten
YUM BRANDS INC;0,07;Luxe-consumentengoederen;Verenigde Staten
VESTAS WIND SYSTEMS;0,06;Industrie;Denemarken
MARRIOTT INTERNATIONAL INC CLASS A;0,06;Luxe-consumentengoederen;Verenigde Staten
TOKIO MARINE HOLDINGS INC;0,06;Financiële waarden;Japan
SMC (JAPAN) CORP;0,06;Industrie;Japan
CREDIT SUISSE GROUP AG;0,06;Financiële waarden;Zwitserland
WASTE CONNECTIONS INC;0,06;Industrie;Verenigde Staten
VERISK ANALYTICS INC;0,06;Industrie;Verenigde Staten
AMADEUS IT GROUP SA;0,06;IT;Spanje
MICROCHIP TECHNOLOGY INC;0,06;IT;Verenigde Staten
PUBLIC SERVICE ENTERPRISE GROUP IN;0,06;Nutsbedrijven;Verenigde Staten
ALCON AG;0,06;Gezondheidszorg;Zwitserland
FORD MOTOR CO;0,06;Luxe-consumentengoederen;Verenigde Staten
TRANSURBAN GROUP STAPLED UNITS;0,06;Industrie;Australië
PHILLIPS;0,06;Energie;Verenigde Staten
ORIENTAL LAND LTD;0,06;Luxe-consumentengoederen;Japan
GENMAB;0,06;Gezondheidszorg;Denemarken
OTIS WORLDWIDE CORP;0,06;Industrie;Verenigde Staten
MATCH GROUP INC;0,06;Communicatie;Verenigde Staten
CORNING INC;0,06;IT;Verenigde Staten
SCHLUMBERGER NV;0,06;Energie;Verenigde Staten
ARCHER DANIELS MIDLAND;0,06;Basis-consumentengoederen;Verenigde Staten
SWISS RE AG;0,05;Financiële waarden;Zwitserland
DASSAULT SYSTEMES;0,05;IT;Frankrijk
CARRIER GLOBAL CORP;0,05;Industrie;Verenigde Staten
RWE AG;0,05;Nutsbedrijven;Duitsland
XILINX INC;0,05;IT;Verenigde Staten
WILLIAMS INC;0,05;Energie;Verenigde Staten
BMW AG;0,05;Luxe-consumentengoederen;Duitsland
SUNCOR ENERGY INC;0,05;Energie;Canada
VIVENDI SA;0,05;Communicatie;Frankrijk
CONSTELLATION SOFTWARE INC;0,05;IT;Canada
SANDVIK;0,05;Industrie;Zweden
DTE ENERGY;0,05;Nutsbedrijven;Verenigde Staten
BAE SYSTEMS PLC;0,05;Industrie;Verenigd Koninkrijk
OVERSEA-CHINESE BANKING LTD;0,05;Financiële waarden;Singapore
METTLER TOLEDO INC;0,05;Gezondheidszorg;Verenigde Staten
ALEXANDRIA REAL ESTATE EQUITIES RE;0,05;Vastgoed;Verenigde Staten
CANADIAN NATURAL RESOURCES LTD;0,05;Energie;Canada
CONSOLIDATED EDISON INC;0,05;Nutsbedrijven;Verenigde Staten
MARATHON PETROLEUM CORP;0,05;Energie;Verenigde Staten
HEINEKEN NV;0,05;Basis-consumentengoederen;Nederland
MARVELL TECHNOLOGY GROUP LTD;0,05;IT;Verenigde Staten
ENI;0,05;Energie;Italië
CORTEVA INC;0,05;Materialen;Verenigde Staten
FREEPORT MCMORAN INC;0,05;Materialen;Verenigde Staten
PALO ALTO NETWORKS INC;0,05;IT;Verenigde Staten
HEXAGON B;0,05;IT;Zweden
JAPAN TOBACCO INC;0,05;Basis-consumentengoederen;Japan
FORTIVE CORP;0,05;Industrie;Verenigde Staten
AKZO NOBEL NV;0,05;Materialen;Nederland
REALTY INCOME REIT CORP;0,04;Vastgoed;Verenigde Staten
ORANGE SA;0,04;Communicatie;Frankrijk
PPL CORP;0,04;Nutsbedrijven;Verenigde Staten
KYOCERA CORP;0,04;IT;Japan
DOLLAR TREE INC;0,04;Luxe-consumentengoederen;Verenigde Staten
EQUIFAX INC;0,04;Industrie;Verenigde Staten
ARTHUR J GALLAGHER;0,04;Financiële waarden;Verenigde Staten
CROWDSTRIKE HOLDINGS INC CLASS A;0,04;IT;Verenigde Staten
PELOTON INTERACTIVE CLASS A INC;0,04;Luxe-consumentengoederen;Verenigde Staten
MAXIM INTEGRATED PRODUCTS INC;0,04;IT;Verenigde Staten
SEATTLE GENETICS INC;0,04;Gezondheidszorg;Verenigde Staten
TELEFONICA SA;0,04;Communicatie;Spanje
DEUTSCHE WOHNEN;0,04;Vastgoed;Duitsland
FIRST REPUBLIC BANK;0,04;Financiële waarden;Verenigde Staten
AMEREN CORP;0,04;Nutsbedrijven;Verenigde Staten
PIONEER NATURAL RESOURCE;0,04;Energie;Verenigde Staten
MITSUI FUDOSAN LTD;0,04;Vastgoed;Japan
COOPER INC;0,04;Gezondheidszorg;Verenigde Staten
SAMPO;0,04;Financiële waarden;Finland
AMCOR PLC;0,04;Materialen;Verenigde Staten
CLP HOLDINGS LTD;0,04;Nutsbedrijven;Hong Kong
MITSUBISHI ESTATE CO LTD;0,04;Vastgoed;Japan
FORTIS INC;0,04;Nutsbedrijven;Canada
WAYFAIR INC CLASS A;0,04;Luxe-consumentengoederen;Verenigde Staten
HARTFORD FINANCIAL SERVICES GROUP;0,04;Financiële waarden;Verenigde Staten
TELEFLEX INC;0,04;Gezondheidszorg;Verenigde Staten
IMPERIAL BRANDS PLC;0,04;Basis-consumentengoederen;Verenigd Koninkrijk
MID AMERICA APARTMENT COMMUNITIES;0,04;Vastgoed;Verenigde Staten
LINK REAL ESTATE INVESTMENT TRUST;0,03;Vastgoed;Hong Kong
JAPAN EXCHANGE GROUP INC;0,03;Financiële waarden;Japan
SWEDBANK;0,03;Financiële waarden;Zweden
FERROVIAL SA;0,03;Industrie;Spanje
AEON LTD;0,03;Basis-consumentengoederen;Japan
RESTAURANTS BRANDS INTERNATIONAL I;0,03;Luxe-consumentengoederen;Canada
STANDARD CHARTERED PLC;0,03;Financiële waarden;Verenigd Koninkrijk
DAI-ICHI LIFE HOLDINGS INC;0,03;Financiële waarden;Japan
WOODSIDE PETROLEUM LTD;0,03;Energie;Australië
SYMRISE AG;0,03;Materialen;Duitsland
NITORI HOLDINGS LTD;0,03;Luxe-consumentengoederen;Japan
CHECK POINT SOFTWARE TECHNOLOGIES;0,03;IT;Israël
HONG KONG AND CHINA GAS LTD;0,03;Nutsbedrijven;Hong Kong
NVR INC;0,03;Luxe-consumentengoederen;Verenigde Staten
ALLIANT ENERGY CORP;0,03;Nutsbedrijven;Verenigde Staten
MARKEL CORP;0,03;Financiële waarden;Verenigde Staten
ROGERS COMMUNICATIONS NON-VOTING I;0,03;Communicatie;Canada
E TRADE FINANCIAL CORP;0,03;Financiële waarden;Verenigde Staten
SWEDISH MATCH;0,03;Basis-consumentengoederen;Zweden
SHIMANO INC;0,03;Luxe-consumentengoederen;Japan
TELADOC HEALTH INC;0,03;Gezondheidszorg;Verenigde Staten
PINTEREST INC CLASS A;0,03;Communicatie;Verenigde Staten
