APPLE INC;4,57;US0378331005;IT;Verenigde Staten
MICROSOFT CORP;3,36;US5949181045;IT;Verenigde Staten
AMAZON COM INC;3,05;US0231351067;Luxe-consumentengoederen;Verenigde Staten
FACEBOOK CLASS A INC;1,48;US30303M1027;Communicatie;Verenigde Staten
ALPHABET INC CLASS C;1,05;US02079K1079;Communicatie;Verenigde Staten
ALPHABET INC CLASS A;1,03;US02079K3059;Communicatie;Verenigde Staten
JOHNSON & JOHNSON;0,85;US4781601046;Gezondheidszorg;Verenigde Staten
NESTLE SA;0,77;CH0038863350;Basis-consumentengoederen;Zwitserland
VISA INC CLASS A;0,75;US92826C8394;IT;Verenigde Staten
PROCTER & GAMBLE;0,74;US7427181091;Basis-consumentengoederen;Verenigde Staten
JPMORGAN CHASE & CO;0,69;US46625H1005;Financiële waarden;Verenigde Staten
NVIDIA CORP;0,68;US67066G1040;IT;Verenigde Staten
TESLA INC;0,68;US88160R1014;Luxe-consumentengoederen;Verenigde Staten
BERKSHIRE HATHAWAY INC CLASS B;0,66;US0846707026;Financiële waarden;Verenigde Staten
MASTERCARD INC CLASS A;0,65;US57636Q1040;IT;Verenigde Staten
UNITEDHEALTH GROUP INC;0,64;US91324P1021;Gezondheidszorg;Verenigde Staten
HOME DEPOT INC;0,63;US4370761029;Luxe-consumentengoederen;Verenigde Staten
VERIZON COMMUNICATIONS INC;0,54;US92343V1044;Communicatie;Verenigde Staten
ROCHE HOLDING PAR AG;0,54;CH0012032048;Gezondheidszorg;Zwitserland
WALT DISNEY;0,52;US2546871060;Communicatie;Verenigde Staten
ADOBE INC;0,52;US00724F1012;IT;Verenigde Staten
SALESFORCE.COM INC;0,5;US79466L3024;IT;Verenigde Staten
NETFLIX INC;0,49;US64110L1061;Communicatie;Verenigde Staten
MERCK & CO INC;0,47;US58933Y1055;Gezondheidszorg;Verenigde Staten
INTEL CORPORATION CORP;0,47;US4581401001;IT;Verenigde Staten
PAYPAL HOLDINGS INC;0,46;US70450Y1038;IT;Verenigde Staten
AT&T INC;0,46;US00206R1023;Communicatie;Verenigde Staten
COCA-COLA;0,45;US1912161007;Basis-consumentengoederen;Verenigde Staten
BANK OF AMERICA CORP;0,45;US0605051046;Financiële waarden;Verenigde Staten
COMCAST CORP CLASS A;0,44;US20030N1019;Communicatie;Verenigde Staten
PFIZER INC;0,44;US7170811035;Gezondheidszorg;Verenigde Staten
WALMART INC;0,44;US9311421039;Basis-consumentengoederen;Verenigde Staten
NOVARTIS AG;0,43;CH0012005267;Gezondheidszorg;Zwitserland
PEPSICO INC;0,42;US7134481081;Basis-consumentengoederen;Verenigde Staten
ABBOTT LABORATORIES;0,4;US0028241000;Gezondheidszorg;Verenigde Staten
CISCO SYSTEMS INC;0,38;US17275R1023;IT;Verenigde Staten
SAP;0,36;DE0007164600;IT;Duitsland
EXXON MOBIL CORP;0,36;US30231G1022;Energie;Verenigde Staten
THERMO FISHER SCIENTIFIC INC;0,35;US8835561023;Gezondheidszorg;Verenigde Staten
ABBVIE INC;0,35;US00287Y1091;Gezondheidszorg;Verenigde Staten
MCDONALDS CORP;0,35;US5801351017;Luxe-consumentengoederen;Verenigde Staten
