Period,Return
06/29/2012,0.081632
07/31/2012,0.010707893
08/31/2012,0.047364011
09/28/2012,0.033104133
10/31/2012,0.016112138
11/30/2012,0.028691566
12/31/2012,0.027004906
01/31/2013,0.061401823
02/28/2013,-0.026673799
03/29/2013,0.00042764
04/30/2013,0.046613411
05/31/2013,0.002342769
06/28/2013,-0.047114844
07/31/2013,0.075096537
08/30/2013,-0.013346001
09/30/2013,0.073854801
10/31/2013,0.043457808
11/29/2013,0.01198377
12/31/2013,0.020301056
01/31/2014,-0.037677584
02/28/2014,0.073460486
03/31/2014,-0.010783778
04/30/2014,0.023421826
05/30/2014,0.011671543
06/30/2014,-0.004536564
07/31/2014,-0.037149037
08/29/2014,0.004648548
09/30/2014,-0.035936667
10/31/2014,-0.024457936
11/28/2014,0.031346359
12/31/2014,-0.043183604
01/30/2015,0.002302315
02/27/2015,0.060653286
03/31/2015,-0.020827515
04/30/2015,0.041581899
05/29/2015,-0.004381979
06/30/2015,-0.028891481
07/31/2015,0.032474242
08/31/2015,-0.071221924
09/30/2015,-0.046155796
10/30/2015,0.069504558
11/30/2015,-0.018348007
12/31/2015,-0.021984784
01/29/2016,-0.067584382
02/29/2016,-0.020549999
03/31/2016,0.063276612
04/29/2016,0.022829162
05/31/2016,-0.000843695
06/30/2016,-0.051535732
07/29/2016,0.046324085
08/31/2016,0.005288149
09/30/2016,0.007507057
10/31/2016,-0.033048465
11/30/2016,-0.024589342
12/30/2016,0.051716912
01/31/2017,0.021416059
02/28/2017,0.012915177
03/31/2017,0.042789521
04/28/2017,0.038038132
05/31/2017,0.051597097
06/30/2017,-0.009396623
07/31/2017,0.031774857
08/31/2017,0.000564099
09/29/2017,0.030547724
10/31/2017,0.002682104
11/30/2017,0.001585886
12/29/2017,0.01344922
01/31/2018,0.053782737
02/28/2018,-0.056838604
03/30/2018,-0.011662772
04/30/2018,0.026887257
05/31/2018,-0.032540692
06/29/2018,-0.007801941
07/31/2018,0.032824715
08/31/2018,-0.02620543
09/28/2018,0.001030998
10/31/2018,-0.077614797
11/30/2018,-0.004408228
12/31/2018,-0.046135381
01/31/2019,0.065114157
02/28/2019,0.032700038
03/29/2019,0.005648812
04/30/2019,0.04111433
05/31/2019,-0.053085231
06/28/2019,0.066519504
07/31/2019,-0.020568601
08/30/2019,-0.022916778
09/30/2019,0.028886801
10/31/2019,0.034232966
11/29/2019,0.013216722
12/31/2019,0.039088679
01/31/2020,-0.025067626
02/28/2020,-0.086914895
03/31/2020,-0.138970372
04/30/2020,0.061888648
05/29/2020,0.050006313
06/30/2020,0.042413624
07/31/2020,0.04685971
08/31/2020,0.040789878
09/30/2020,-0.031825058
10/30/2020,-0.054286905
11/30/2020,0.163607053
12/31/2020,0.046246179
01/29/2021,-0.0142591
02/26/2021,0.020781034
03/31/2021,0.03149309
04/30/2021,0.049208231
05/31/2021,0.04360773
06/30/2021,-0.012753042
07/30/2021,0.0180697
08/31/2021,0.01674224
09/30/2021,-0.049782639
10/29/2021,0.047258686
11/30/2021,-0.049590428
12/31/2021,0.064785026
01/31/2022,-0.053249567
02/28/2022,-0.033373335
03/31/2022,-0.001343207
04/29/2022,-0.057304165
05/31/2022,0.005084059
06/30/2022,-0.099754151
07/29/2022,0.052679534
08/31/2022,-0.0647601
09/30/2022,-0.087520311
