Period,Return
06/29/2012,0.035052301
07/31/2012,0.01268698
08/31/2012,0.027400938
09/28/2012,0.024461804
10/31/2012,-0.016871576
11/30/2012,0.006874759
12/31/2012,0.012196636
01/31/2013,0.049330352
02/28/2013,0.00947386
03/29/2013,0.036539483
04/30/2013,0.019606775
05/31/2013,0.019611899
06/28/2013,-0.016863585
07/31/2013,0.05357787
08/30/2013,-0.024787236
09/30/2013,0.033730533
10/31/2013,0.043340156
11/29/2013,0.025693574
12/31/2013,0.025812137
01/31/2014,-0.031547342
02/28/2014,0.047764319
03/31/2014,0.006770296
04/30/2014,0.005532848
05/30/2014,0.023991302
06/30/2014,0.025673079
07/31/2014,-0.011317644
08/29/2014,0.039430705
09/30/2014,-0.019272399
10/31/2014,0.020816201
11/28/2014,0.025226232
12/31/2014,-0.00352096
01/30/2015,-0.032361777
02/27/2015,0.058680414
03/31/2015,-0.01366252
04/30/2015,0.011891064
05/29/2015,0.010779968
06/30/2015,-0.018514
07/31/2015,0.017967653
08/31/2015,-0.061334913
09/30/2015,-0.02935682
10/30/2015,0.079233622
11/30/2015,0.00208767
12/31/2015,-0.021853028
01/29/2016,-0.053736765
02/29/2016,-0.001089742
03/31/2016,0.070493017
04/29/2016,0.007173667
05/31/2016,0.016312627
06/30/2016,-0.000431123
07/29/2016,0.041177934
08/31/2016,0.002115568
09/30/2016,0.003321429
10/31/2016,-0.020694281
11/30/2016,0.03486545
12/30/2016,0.01825931
01/31/2017,0.023307831
02/28/2017,0.035131288
03/31/2017,0.003007428
04/28/2017,0.009849922
05/31/2017,0.013322729
06/30/2017,0.007295854
07/31/2017,0.02252599
08/31/2017,0.003656562
09/29/2017,0.021059745
10/31/2017,0.024331831
11/30/2017,0.02921109
12/29/2017,0.010564785
01/31/2018,0.054416324
02/28/2018,-0.036930975
03/30/2018,-0.022165019
04/30/2018,0.007306996
05/31/2018,0.025547656
06/29/2018,0.00788989
07/31/2018,0.034483569
08/31/2018,0.033702615
09/28/2018,0.003518384
10/31/2018,-0.071596765
11/30/2018,0.020452582
12/31/2018,-0.089026537
01/31/2019,0.084568828
02/28/2019,0.031249223
03/29/2019,0.019624306
04/30/2019,0.040696478
05/31/2019,-0.062212807
06/28/2019,0.06990307
07/31/2019,0.01544912
08/30/2019,-0.017217913
09/30/2019,0.016900873
10/31/2019,0.021451805
11/29/2019,0.03626409
12/31/2019,0.031478101
01/31/2020,0.002349209
02/28/2020,-0.079879001
03/31/2020,-0.128162695
04/30/2020,0.136088079
05/29/2020,0.053618162
06/30/2020,0.024939824
07/31/2020,0.061412521
08/31/2020,0.075126532
09/30/2020,-0.038428863
10/30/2020,-0.026235866
11/30/2020,0.114517447
12/31/2020,0.041679821
01/29/2021,-0.007574083
02/26/2021,0.026239161
03/31/2021,0.035950498
04/30/2021,0.054512128
05/31/2021,0.005773574
06/30/2021,0.02882331
07/30/2021,0.023029697
08/31/2021,0.029088021
09/30/2021,-0.046508273
10/29/2021,0.071635873
11/30/2021,-0.009924592
12/31/2021,0.039525437
01/31/2022,-0.057679568
02/28/2022,-0.030830821
03/31/2022,0.037512512
04/29/2022,-0.091789011
05/31/2022,-0.002575445
06/30/2022,-0.083688441
07/29/2022,0.093328074
08/31/2022,-0.040512966
09/30/2022,-0.091749547
