APPLE;3,43%
MICROSOFT CORP;3,22%
AMAZON.COM;2,55%
FACEBOOK A;1,36%
ALPHABET C;1,07%
ALPHABET A;1,05%
JOHNSON & JOHNSON;0,94%
VISA A;0,81%
NESTLE;0,78%
JPMORGAN CHASE & CO;0,74%
UNITEDHEALTH GROUP;0,71%
PROCTER & GAMBLE CO;0,70%
HOME DEPOT;0,66%
MASTERCARD A;0,66%
INTEL CORP;0,64%
BERKSHIRE HATHAWAY B;0,62%
ROCHE HOLDING GENUSS;0,59%
VERIZON COMMUNICATIONS;0,56%
AT&T;0,54%
NVIDIA;0,52%
DISNEY (WALT);0,52%
MERCK & CO;0,49%
CISCO SYSTEMS;0,48%
PFIZER;0,48%
EXXON MOBIL CORP;0,48%
BANK OF AMERICA CORP;0,47%
COCA COLA (THE);0,47%
ADOBE;0,46%
NETFLIX;0,45%
NOVARTIS;0,45%
PEPSICO;0,45%
COMCAST CORP A (NEW);0,44%
WALMART;0,43%
CHEVRON CORP;0,42%
PAYPAL HOLDINGS;0,42%
ABBOTT LABORATORIES;0,40%
ABBVIE;0,39%
SALESFORCE.COM;0,36%
ASTRAZENECA;0,35%
MCDONALD'S CORP;0,34%
THERMO FISHER SCIENTIFIC;0,34%
ASML HLDG;0,34%
COSTCO WHOLESALE CORP;0,33%
BRISTOL-MYERS SQUIBB CO;0,33%
AMGEN;0,33%
TOYOTA MOTOR CORP;0,32%
TESLA;0,32%
SAP;0,32%
LILLY (ELI) & COMPANY;0,32%
MEDTRONIC PLC;0,32%
ACCENTURE A;0,31%
NEXTERA ENERGY;0,30%
NIKE B;0,30%
ORACLE CORP;0,29%
LVMH MOET HENNESSY;0,29%
AMERICAN TOWER CORP;0,28%
UNION PACIFIC CORP;0,28%
BROADCOM;0,28%
NOVO NORDISK B;0,28%
PHILIP MORRIS INTL;0,28%
SANOFI;0,27%
IBM CORP;0,27%
TEXAS INSTRUMENTS;0,27%
LINDE (NEW);0,27%
WELLS FARGO & CO;0,26%
HONEYWELL INTERNATIONAL;0,25%
CITIGROUP;0,25%
GLAXOSMITHKLINE;0,25%
DANAHER CORP;0,25%
AIA GROUP;0,25%
LOWE'S COS;0,24%
LOCKHEED MARTIN CORP;0,24%
RAYTHEON TECHNOLOGIES;0,24%
HSBC HOLDINGS (GB);0,23%
ROYAL BANK OF CANADA;0,23%
TOTAL;0,23%
GILEAD SCIENCES;0,23%
BRITISH AMERICAN TOBACCO;0,22%
STARBUCKS CORP;0,22%
QUALCOMM;0,22%
3M CO;0,22%
CSL;0,21%
CVS HEALTH;0,21%
FIDELITY NATL INFO SVCS;0,21%
SIEMENS;0,20%
DIAGEO;0,20%
SONY CORP;0,20%
BLACKROCK A;0,20%
BOEING CO;0,20%
TORONTO-DOMINION BANK;0,19%
S&P GLOBAL;0,19%
CHARTER COMM A (NEW);0,19%
SHOPIFY A;0,19%
BP;0,19%
COMMONWEALTH BANK OF AUS;0,19%
UNILEVER NV (NL);0,18%
ALLIANZ;0,18%
