POOL CORP;0.197758%
BIO-TECHNE CORP;0.185397%
ZENDESK;0.183084%
ARGEN X;0.176410%
HORIZON THERAPEUTICS PLC;0.175001%
ETSY;0.171925%
MONOLITHIC POWER SYSTEMS;0.166790%
CHARLES RIVER LABS INTL;0.164145%
ROYAL GOLD;0.163429%
ZYNGA A;0.161797%
HUBSPOT;0.161747%
CIENA CORP;0.158571%
CYRUSONE;0.157421%
CERIDIAN HCM HOLDING;0.153353%
GRACO;0.149981%
ENTEGRIS;0.147112%
ZSCALER;0.142778%
ALTERYX A;0.140830%
CHEGG;0.140372%
GAMING & LEISURE PPTYS;0.139119%
ASPEN TECHNOLOGY;0.137852%
CHEMED CORP;0.137577%
TORO CO;0.136487%
EXELIXIS;0.135964%
SOLAREDGE TECHNOLOGIES;0.135133%
ENCOMPASS HEALTH CORP;0.134703%
AMERICOLD REALTY;0.132110%
APTARGROUP;0.131652%
AMERICAN HOMES 4 RENT A;0.131172%
SERVICE CORP INTL;0.131156%
TREX COMPANY;0.130481%
GENERAC HOLDINGS;0.127616%
HILL-ROM HOLDING;0.126517%
CARLISLE COS;0.125918%
HUBBELL;0.125506%
PROOFPOINT;0.124616%
NUANCE COMMUNICATIONS;0.123466%
GENTEX CORP;0.123458%
BRIGHT HORIZONS FAMILY;0.123339%
GCI LIBERTY A;0.122638%
WEX;0.121651%
QUIDEL CORP;0.121620%
PRA HEALTH SCIENCES;0.121122%
FIVE9;0.120816%
RELIANCE STEEL & ALUM;0.120808%
RIGHTMOVE GROUP;0.119074%
REPLIGEN CORP;0.118614%
COMMERCE BANCSHARES;0.118184%
CACI INTERNATIONAL A;0.116233%
WILLIAMS-SONOMA;0.116107%
SMARTSHEET A;0.115696%
CAESARS ENTERTAINMENT;0.115586%
AECOM;0.114731%
UNIVERSAL DISPLAY CORP;0.114292%
AMEDISYS;0.112687%
IMMUNOMEDICS;0.112102%
PENNON GROUP;0.112069%
DONALDSON CO;0.111969%
PROSPERITY BANCSHARES;0.111891%
BERRY GLOBAL GROUP;0.111395%
MANHATTAN ASSOCIATES;0.110937%
SCOTTS MIRACLE-GRO;0.110061%
CASEYS GENERAL STORES;0.109472%
FIRST AMERICAN FINANCIAL;0.108728%
BWX TECHNOLOGIES;0.108641%
POST HOLDINGS;0.108284%
CARVANA A;0.108241%
PENUMBRA;0.108129%
REALPAGE;0.107873%
LPL FINANCIAL HOLDINGS;0.107789%
DS SMITH;0.107353%
HEALTHCARE TRUST OF AMER;0.107124%
LAMAR ADVERTISING CO A;0.106756%
WATSCO;0.105661%
HELLOFRESH;0.105510%
FIVE BELOW;0.105502%
CREE INC;0.105399%
ACADIA PHARMACEUTICALS;0.105071%
INPHI CORP;0.105026%
IAA;0.104844%
MKS INSTRUMENTS;0.104767%
APARTMENT INV & MGMT;0.104259%
NOVOCURE;0.103598%
KILROY REALTY CORP;0.103164%
ASM INTERNATIONAL;0.102439%
LUMENTUM HOLDINGS;0.102397%
NEW YORK TIMES CO A;0.102105%
HAEMONETICS CORP;0.101950%
ENPHASE ENERGY;0.101706%
CUBESMART;0.101308%
DECKERS OUTDOOR CORP;0.101097%
QUANTA SERVICES;0.099711%
DUNKIN BRANDS;0.099682%
GRUBHUB;0.099614%
AXON ENTERPRISE;0.098244%
PLANET FITNESS A;0.097906%
UNITED THERAPEUTICS CORP;0.097370%
SONOCO PRODUCTS CO;0.097024%
OLLIES BARGAIN OUTLET;0.096877%
POLARIS INDUSTRIES;0.096301%
BECHTLE;0.095738%
EURONEXT;0.095666%
KIMCO REALTY CORP;0.095581%
EVERBRIDGE;0.095247%
FLEX;0.095015%
EURONET WORLDWIDE;0.094567%
BOSTON BEER A;0.094348%
MYOKARDIA;0.093562%
DOUGLAS EMMETT;0.093213%
ITT;0.093031%
BJS WHOLESALE CLUB HLDGS;0.092852%
STERICYCLE;0.092590%
GUARDANT HEALTH;0.092164%
IMCD GROUP;0.091865%
HOMESERVE;0.091335%
PSP SWISS PROPERTY;0.091306%
OSHKOSH CORP;0.091054%
MERCURY SYSTEMS;0.090617%
ANAPLAN;0.090543%
NATIONAL INSTRUMENTS;0.090055%
VAT GROUP;0.089816%
TECH DATA CORP;0.089595%
FIRST INDUSTRIAL REALTY;0.089307%
STORE CAPITAL;0.088998%
LHC GROUP;0.088911%
THOR INDUSTRIES;0.088841%
TANDEM DIABETES CARE;0.088642%
SYNNEX CORP;0.088410%
PRIMERICA;0.088120%
GRAND CANYON EDUCATION;0.087775%
ELASTIC NV;0.087697%
LINCOLN ELECTRIC HLDGS;0.087557%
NEW YORK COMMU BANCORP;0.087331%
FLOWERS FOODS;0.087280%
IDACORP;0.087010%
CORESITE REALTY CORP;0.086973%
PAYLOCITY HOLDING CORP;0.086674%
CHURCHILL DOWNS;0.086449%
AMERICAN CAMPUS CMNTY;0.086432%
SCIENCE APPLICATIONS;0.086202%
BRUKER;0.086058%
MAXIMUS;0.085930%
INTERMEDIATE CAPITAL GRP;0.085404%
OLD REPUBLIC INTL CORP;0.085065%
LIFE STORAGE;0.085009%
NOBLE ENERGY;0.084553%
COUSINS PROPERTIES;0.084334%
REXFORD INDL REALTY;0.084156%
HELEN OF TROY;0.083908%
TCF FINANCIAL CORP;0.083889%
BOOHOO GROUP;0.083729%
BRUNSWICK CORP;0.083457%
CULLEN FROST BANKERS;0.083444%
WYNDHAM HOTELS & RESORTS;0.083162%
MARATHON OIL CORP;0.082963%
DEVON ENERGY CORP;0.082935%
FTI CONSULTING;0.082720%
LANDSTAR SYSTEM;0.082659%
EASTGROUP PROPERTIES;0.082561%
SIMCORP;0.082309%
B&M EUROPEAN VALUE RTL;0.082303%
ALLISON TRANSMISSION HLD;0.082156%
SITEONE LANDSCAPE SUPPLY;0.081735%
SERVICEMASTER GLOBAL;0.081706%
APACHE CORP;0.081665%
KESKO B;0.081456%
ACCELERON PHARMA;0.081340%
MDU RESOURCES GROUP;0.081323%
HEALTHEQUITY;0.081286%
RUBIS;0.081090%
ONE GAS;0.080862%
CASTELLUM;0.080786%
MSA SAFETY INC;0.080769%
US FOODS HOLDING;0.080748%
HOWDEN JOINERY GROUP;0.080698%
LEGG MASON;0.079979%
NORWEGIAN CRUISE LINE;0.079597%
TETRA TECH;0.079589%
II-VI;0.079418%
CURTISS-WRIGHT CORP;0.079370%
SWEDISH ORPHAN BIOVITRUM;0.079320%
SKECHERS USA A;0.079295%
SIG COMBIBLOC GROUP;0.078977%
MANPOWERGROUP;0.078693%
OSRAM LICHT;0.078654%
TARGA RESOURCES CORP;0.078648%
HERBALIFE NUTRITION;0.078592%
HAWAIIAN ELECTRIC INDS;0.078591%
EATON VANCE CORP NV;0.078510%
JABIL CIRCUIT;0.078224%
PHOENIX GROUP HOLDINGS;0.078079%
GLOBUS MEDICAL A;0.078023%
NUTANIX A;0.077626%
CIRRUS LOGIC;0.077586%
LEGGETT & PLATT;0.077554%
CABOT MICROELECTRONICS;0.077367%
GRAPHIC PACKAGING HLDGS;0.077173%
PENN NATIONAL GAMING;0.077019%
HEALTHCARE REALTY TRUST;0.076856%
BLUEBIRD BIO;0.076840%
PORTLAND GEN ELECTRIC;0.076710%
KEMPER;0.076700%
AVAST;0.076669%
FLOOR & DECOR HOLDINGS A;0.076647%
GETINGE B;0.076627%
MORPHOSYS;0.076598%
WENDYS;0.076586%
TECAN GROUP;0.076538%
WOODWARD;0.076332%
FASTIGHETS AB BALDER B;0.076212%
DESCARTES SYSTEMS GROUP;0.076111%
LOGMEIN;0.076015%
BELLWAY;0.075941%
SOUTHWEST GAS HLDGS;0.075646%
MIDDLEBY CORP;0.075386%
HIGHWOODS PROPERTIES;0.075181%
ADVANCE RESIDENCE (NEW);0.075146%
LITTELFUSE;0.075003%
TOROMONT INDUSTRIES;0.074632%
EQUITY COMMONWEALTH;0.074587%
NORTHLAND POWER;0.074358%
TOMRA SYSTEMS;0.074254%
STAG INDUSTRIAL;0.074168%
ROYAL UNIBREW;0.074139%
TOLL BROTHERS;0.073900%
DERWENT LONDON;0.073793%
SILICON LABORATORIES;0.073757%
TATE & LYLE;0.073384%
PURE STORAGE;0.073357%
TOPBUILD CORP;0.073317%
ICU MEDICAL;0.073298%
NEXSTAR MEDIA GROUP A;0.073144%
ASR NEDERLAND;0.073000%
FRONTDOOR;0.072892%
EMERGENT BIOSOLUTIONS;0.072802%
ATLAS ARTERIA;0.072618%
DOLBY LABORATORIES A;0.072614%
CORELOGIC;0.072591%
ELEKTA B;0.072505%
CREDIT ACCEPTANCE CORP;0.072489%
STARWOOD PROPERTY TRUST;0.072464%
AMS;0.072337%
QUALYS;0.072286%
HANOVER INSURANCE GROUP;0.072253%
TAPESTRY;0.072253%
QTS REALTY TRUST A;0.072246%
FIRST FINL BANKSHARES;0.071931%
L BRANDS;0.071701%
HUHTAMAKI;0.071652%
EXPONENT;0.071619%
CARTER HOLDINGS;0.071439%
ENVESTNET;0.071280%
NEWMARKET CORP;0.071024%
WRIGHT MEDICAL GROUP NV;0.070743%
SYNEOS HEALTH;0.070682%
PEGASYSTEMS;0.070671%
ULTRAGENYX PHARMA;0.070607%
NEVRO;0.070535%
HUDSON PACIFIC PPTYS;0.070519%
DARLING INGREDIENTS;0.070425%
MARRIOTT VACATIONS WORLD;0.070414%
GLACIER BANCORP;0.070342%
CONVATEC GROUP;0.070224%
NEKTAR THERAPEUTICS;0.070193%
BLACK HILLS CORP;0.070125%
FIRST SOLAR;0.070047%
STRATEGIC EDUCATION;0.069908%
NEOGEN CORP;0.069843%
POPULAR;0.069774%
INTEGRA LIFESCIENCES;0.069657%
GLOBAL BLOOD THERAPEUTIC;0.069349%
DXC TECHNOLOGY;0.069081%
ABCAM;0.068972%
SPECTRIS;0.068947%
HUNTSMAN CORP;0.068874%
UNITED BANKSHARES;0.068851%
SPIRE;0.068825%
WESTERN ALLIANCE BANCORP;0.068597%
SARACEN MINERAL HOLDINGS;0.068589%
