ALIBABA GROUP HLDG ADR;8%
TENCENT HOLDINGS LI (CN);6%
TAIWAN SEMICONDUCTOR MFG;5%
SAMSUNG ELECTRONICS CO;4%
CHINA CONSTRUCTION BK H;2%
NASPERS N;1%
MEITUAN DIANPING B;1%
PING AN INSURANCE H;1%
RELIANCE INDUSTRIES;1%
CHINA MOBILE;0,86%
JD,COM ADR;0,79%
ICBC H;0,78%
HOUSING DEV FINANCE CORP;0,74%
SK HYNIX;0,73%
LUKOIL HOLDING(RUB);0,62%
HON HAI PRECISION IND CO;0,62%
SBERBANK RUSSIA COM(RUB);0,62%
INFOSYS;0,61%
SAMSUNG ELECTRONICS PREF;0,57%
BANK OF CHINA H;0,57%
BAIDU ADR;0,57%
NETEASE COM ADR;0,55%
NAVER;0,46%
TAL EDUCATION GROUP ADR;0,46%
MEDIATEK INC;0,45%
AMERICA MOVIL L;0,45%
HINDUSTAN UNILEVER;0,45%
QATAR NATIONAL BANK;0,42%
ICICI BANK;0,42%
ITAU UNIBANCO PN;0,42%
SAUDI BASIC IND CORP;0,41%
CNOOC;0,40%
AL RAJHI BANKING & INV;0,37%
CHINA MERCHANTS BANK H;0,37%
BHARTI AIRTEL;0,35%
CELLTRION;0,34%
BANK CENTRAL ASIA;0,34%
B3;0,34%
NEW ORIENTAL EDUCAT ADR;0,34%
PINDUODUO ADR A;0,33%
YUM CHINA HOLDINGS;0,33%
SAMSUNG SDI CO;0,32%
XIAOMI CORP B;0,32%
NATIONAL COMM BANK;0,31%
SAUDI TELECOM CO;0,31%
KWEICHOW MOUTAI A (HK-C);0,29%
WUXI BIOLOGICS;0,29%
LG CHEM;0,29%
CHINA LIFE INSURANCE H;0,28%
CHUNGHWA TELECOM CO;0,28%
LARGAN PRECISION CO;0,27%
FEMSA UNIT UBD;0,26%
NOVATEK GDR;0,26%
WALMART MEXICO V;0,26%
CHINA RESOURCES LAND;0,25%
CP ALL PCL;0,25%
PTT;0,25%
TRIP COM GROUP LTD ADR;0,24%
ZTO EXPRESS ADR A;0,24%
CHINA OVERSEAS LAND &INV;0,24%
HYUNDAI MOTOR CO;0,24%
KAKAO CORP;0,24%
UNI-PRESIDENT ENT,;0,23%
CTBC FINANCIAL HOLDING;0,23%
SINO BIOPHARMACEUTICAL;0,23%
SHINHAN FINANCIAL GROUP;0,22%
AGRI BANK OF CHINA H;0,22%
HYUNDAI MOBIS;0,22%
BANK RAKYAT INDONESIA;0,22%
MEGA FINANCIAL HOLDING;0,22%
KB FINANCIAL GROUP;0,22%
SUNAC CHINA HOLDINGS;0,22%
AMBEV ON (NEW);0,22%
TATNEFT COMMON (RUB);0,22%
POSCO;0,21%
NCSOFT CORP;0,21%
AXIS BANK;0,21%
NAN YA PLASTIC;0,21%
CHINA PETRO & CHEM H;0,21%
FORMOSA PLASTIC CORP;0,21%
TELEKOMUNIKASI INDONESIA;0,21%
CATHAY FINANCIAL HOLDING;0,21%
LG HOUSEHOLD & HEALTH;0,20%
CHINA MENGNIU DAIRY CO;0,20%
SHENZHOU INTERNATIONAL;0,20%
ANGLOGOLD ASHANTI;0,20%
ANTA SPORTS PRODUCTS;0,19%
SUNNY OPTICAL TECH;0,19%
ENN ENERGY HOLDINGS;0,19%
PUBLIC BANK;0,19%
COUNTRY GARDEN HLDGS;0,19%
CREDICORP;0,19%
E,SUN FINANCIAL HOLDINGS;0,18%
FUBON FINANCIAL HOLDING;0,18%
CSPC PHARMACEUTICAL GRP;0,18%
CHINA GAS HOLDINGS;0,18%
DELTA ELECTRONICS;0,18%
