POOL CORP;0.240990%
BIO-TECHNE CORP;0.225927%
ZENDESK;0.223108%
HORIZON THERAPEUTICS PLC;0.213259%
ETSY;0.209509%
MONOLITHIC POWER SYSTEMS;0.203252%
CHARLES RIVER LABS INTL;0.200029%
ROYAL GOLD;0.199157%
ZYNGA A;0.197168%
HUBSPOT;0.197106%
CIENA CORP;0.193237%
CYRUSONE;0.191836%
CERIDIAN HCM HOLDING;0.186878%
GRACO;0.182768%
ENTEGRIS;0.179272%
ZSCALER;0.173990%
ALTERYX A;0.171618%
CHEGG;0.171059%
GAMING & LEISURE PPTYS;0.169532%
ASPEN TECHNOLOGY;0.167988%
CHEMED CORP;0.167653%
TORO CO;0.166324%
EXELIXIS;0.165688%
SOLAREDGE TECHNOLOGIES;0.164675%
ENCOMPASS HEALTH CORP;0.164151%
AMERICOLD REALTY;0.160990%
APTARGROUP;0.160433%
AMERICAN HOMES 4 RENT A;0.159848%
SERVICE CORP INTL;0.159828%
TREX COMPANY;0.159005%
GENERAC HOLDINGS;0.155514%
HILL-ROM HOLDING;0.154175%
CARLISLE COS;0.153445%
HUBBELL;0.152944%
PROOFPOINT;0.151859%
NUANCE COMMUNICATIONS;0.150457%
GENTEX CORP;0.150447%
BRIGHT HORIZONS FAMILY;0.150303%
GCI LIBERTY A;0.149448%
WEX;0.148245%
QUIDEL CORP;0.148208%
PRA HEALTH SCIENCES;0.147600%
FIVE9;0.147227%
RELIANCE STEEL & ALUM;0.147218%
RIGHTMOVE GROUP;0.145105%
REPLIGEN CORP;0.144544%
COMMERCE BANCSHARES;0.144020%
WILLIAMS-SONOMA;0.141490%
SMARTSHEET A;0.140988%
CAESARS ENTERTAINMENT;0.140854%
UNIVERSAL DISPLAY CORP;0.139278%
AMEDISYS;0.137322%
IMMUNOMEDICS;0.136609%
DONALDSON CO;0.136446%
PROSPERITY BANCSHARES;0.136351%
BERRY GLOBAL GROUP;0.135747%
MANHATTAN ASSOCIATES;0.135189%
SCOTTS MIRACLE-GRO;0.134121%
FIRST AMERICAN FINANCIAL;0.132497%
POST HOLDINGS;0.131956%
PENUMBRA;0.131768%
REALPAGE;0.131455%
LPL FINANCIAL HOLDINGS;0.131353%
DS SMITH;0.130821%
HEALTHCARE TRUST OF AMER;0.130542%
WATSCO;0.128760%
HELLOFRESH;0.128576%
FIVE BELOW;0.128566%
CREE INC;0.128441%
ACADIA PHARMACEUTICALS;0.128040%
INPHI CORP;0.127985%
IAA;0.127765%
MKS INSTRUMENTS;0.127670%
APARTMENT INV & MGMT;0.127051%
NOVOCURE;0.126246%
KILROY REALTY CORP;0.125717%
