NOVARTIS;0,45%
WALMART;0,43%
PHILIP MORRIS INTL;0,28%
HONEYWELL INTERNATIONAL;0,25%
LOCKHEED MARTIN CORP;0,24%
RAYTHEON TECHNOLOGIES;0,24%
BRITISH AMERICAN TOBACCO;0,22%
BOEING CO;0,20%
ALTRIA GROUP;0,18%
DOMINION ENERGY;0,18%
BHP GROUP (AU);0,17%
BAYER;0,16%
ROYAL DUTCH SHELL A;0,16%
DUKE ENERGY CORP;0,16%
ENEL;0,15%
SOUTHERN COMPANY (THE);0,15%
ROYAL DUTCH SHELL B;0,14%
NORTHROP GRUMMAN CORP;0,13%
BARRICK GOLD CORP;0,11%
AMERICAN ELECTRIC POWER;0,10%
BHP GROUP (GB);0,10%
AIRBUS;0,09%
GENERAL DYNAMICS CORP;0,09%
XCEL ENERGY;0,08%
SAFRAN;0,08%
FIN RICHEMONT NAMEN A;0,07%
WEC ENERGY GROUP;0,07%
TESCO;0,07%
VOLKSWAGEN VORZUG;0,07%
ALIMENTATION COUCHE B;0,07%
SUNCOR ENERGY;0,07%
ANGLO AMERICAN;0,06%
SEVEN & I HOLDINGS CO;0,06%
JAPAN TOBACCO;0,06%
FIRSTENERGY CORP;0,06%
CANADIAN NAT RESOURCES;0,05%
PPL CORP;0,05%
DTE ENERGY;0,05%
ENTERGY CORP;0,05%
BAE SYSTEMS;0,05%
RWE STAMM;0,05%
AMEREN CORPORATION;0,04%
FORTIS;0,04%
IMPERIAL BRANDS;0,04%
CMS ENERGY CORP;0,04%
CLP HOLDINGS;0,04%
AMCOR;0,04%
EVERGY;0,03%
LEIDOS HOLDINGS;0,03%
FREEPORT MCMORAN B;0,03%
ALLIANT ENERGY CORP;0,03%
EDP ENERGIAS DE PORTUGAL;0,03%
SWEDISH MATCH;0,03%
JACOBS ENGINEERING GROUP;0,03%
CELANESE CORP;0,03%
EMERA;0,02%
EASTMAN CHEMICAL CO;0,02%
NISOURCE (NEW);0,02%
VISTRA ENERGY;0,02%
JARDINE MATHESON (USD);0,02%
NRG ENERGY;0,02%
CHUBU ELECTRIC POWER CO;0,02%
PINNACLE WEST CAPITAL;0,02%
PORSCHE AUTOMOBIL VZG;0,02%
AES CORP;0,02%
THALES;0,02%
HUNTINGTON INGALLS IND;0,02%
POWER ASSETS HOLDINGS;0,02%
ENDESA;0,02%
AGL ENERGY;0,02%
ORIGIN ENERGY;0,02%
KANSAI ELECTRIC POWER CO;0,02%
TEXTRON;0,02%
SOUTH 32 (AU);0,02%
OGE ENERGY CORP;0,02%
VOLKSWAGEN STAMM;0,01%
TOKYO ELECTRIC POWER CO;0,01%
CENOVUS ENERGY;0,01%
FAMILYMART CO;0,01%
JARDINE STRATEGIC (USD);0,01%
TOHOKU ELECTRIC POWER CO;0,01%
IMPERIAL OIL;0,01%
CHUGOKU ELECTRIC POWER;0,01%
ELBIT SYSTEMS;0,01%
CK INFRASTRUCTURE HLDGS;0,01%
KYUSHU ELECTRIC POWER CO;0,01%
LAWSON;0,01%
LEONARDO;0,01%
HK ELECTRIC INVESTMENTS;0,01%
ELECTRIC POWER DEV;0,01%
DASSAULT AVIATION;0,01%
DAICEL CORP;0,01%
CIMIC GROUP;0,00%
JARDINE CYCLE & CARRIAGE;0,00%
PATTINSON (WASHINGTON);0,00%
