Naam	Weging
ARGEN X	0,18%
CACI INTERNATIONAL A	0,12%
AECOM	0,11%
PENNON GROUP	0,11%
CASEYS GENERAL STORES	0,11%
BWX TECHNOLOGIES	0,11%
CARVANA A	0,11%
LAMAR ADVERTISING CO A	0,11%
EVERBRIDGE	0,10%
STERICYCLE	0,09%
GUARDANT HEALTH	0,09%
OSHKOSH CORP	0,09%
MERCURY SYSTEMS	0,09%
IDACORP	0,09%
SCIENCE APPLICATIONS	0,09%
NOBLE ENERGY	0,08%
WYNDHAM HOTELS & RESORTS	0,08%
MARATHON OIL CORP	0,08%
DEVON ENERGY CORP	0,08%
ALLISON TRANSMISSION HLD	0,08%
APACHE CORP	0,08%
NORWEGIAN CRUISE LINE	0,08%
CURTISS-WRIGHT CORP	0,08%
SWEDISH ORPHAN BIOVITRUM	0,08%
TARGA RESOURCES CORP	0,08%
HAWAIIAN ELECTRIC INDS	0,08%
EATON VANCE CORP NV	0,08%
GLOBUS MEDICAL A	0,08%
PORTLAND GEN ELECTRIC	0,08%
AVAST	0,08%
GETINGE B	0,08%
ADVANCE RESIDENCE (NEW)	0,08%
NORTHLAND POWER	0,07%
DOLBY LABORATORIES A	0,07%
BLACK HILLS CORP	0,07%
MGM GROWTH PROPERTIES A	0,07%
MORNINGSTAR	0,07%
RHEINMETALL	0,07%
JEFFERIES FINANCIAL GRP	0,06%
KBR	0,06%
PERSPECTA	0,06%
MURPHY USA	0,06%
QURATE RETAIL A	0,06%
ARES MANAGEMENT CORP	0,06%
NATIONAL FUEL GAS CO	0,06%
EQT	0,06%
AAK	0,06%
ACKERMANS & VAN HAAREN	0,06%
HOLMEN B	0,06%
RH	0,06%
CLEAN HARBORS	0,06%
SIMPSON MANUFACTURING	0,06%
KOHLS CORP	0,06%
NEXTERA ENERGY PARTNERS	0,06%
BIOHAVEN PHARMA HLDG	0,06%
HERA	0,06%
INTERACTIVE BKRS GRP A	0,06%
BOYD GROUP SERVICES	0,06%
MSC INDUSTRIAL DIRECT A	0,06%
PNM RESOURCES	0,06%
ALLETE	0,06%
NORTHWESTERN CORP	0,06%
NVENT ELECTRIC PLC	0,06%
ADAPTIVE BIOTECHNOLOGIES	0,05%
SOJITZ CORP	0,05%
AEROJET ROCKETDYNE HLDGS	0,05%
PARSLEY ENERGY A	0,05%
VERTIV HOLDINGS A	0,05%
CIMAREX ENERGY CO	0,05%
LITHIA MOTORS A	0,05%
MEGGITT	0,05%
CENTRICA	0,05%
HOULIHAN LOKEY A	0,05%
EAGLE MATERIALS A	0,05%
TOURMALINE OIL CORP	0,05%
NEXTDC	0,05%
EL PASO ELECTRIC CO	0,05%
LIVANOVA	0,05%
MILLICOM INTL CELL SDR	0,05%
CTS EVENTIM	0,05%
AVISTA CORP	0,05%
SOUTH JERSEY INDUSTRIES	0,05%
INCITEC PIVOT LTD	0,05%
BRADY CORP A	0,05%
ALUMINA	0,05%
RELO GROUP	0,05%
WPX ENERGY	0,05%
GRAND CITY PROPERTIES	0,05%
CENTAMIN	0,04%
SPARK INFRASTRUCTURE GRP	0,04%
ROCKWOOL INTERNATIONAL B	0,04%
APPFOLIO A	0,04%
ADVANCED DISPOSAL SVCS	0,04%
CASELLA WASTE SYSTEMS A	0,04%
KEPPEL DC REIT	0,04%
ELIS	0,04%
MGE ENERGY	0,04%
LIVONGO HEALTH	0,04%
JUSTSYSTEM CORP	0,04%
TRIPADVISOR	0,04%
TUI	0,04%
MEDALLIA	0,04%
SUGI HOLDINGS CO	0,04%
SBM OFFSHORE	0,04%
FANCL CORP	0,04%
HARMONIC DRIVE SYSTEMS	0,04%
CHEMOURS CO	0,04%
CARNIVAL PLC (GB)	0,04%
A2A	0,04%
FEDERATED HERMES B	0,04%
OVINTIV(US)	0,04%
WORLD WRESTLING ENTMT A	0,04%
VISHAY INTERTECHNOLOGY	0,04%
DECIPHERA PHARMA	0,04%
CAPITAL POWER	0,04%
QINETIQ	0,04%
MANTECH INTL CORP A	0,04%
CABOT CORP	0,04%
XINYI GLASS HOLDING CO	0,04%
STROEER	0,04%
SILTRONIC	0,04%
MINTH GROUP (HK)	0,04%
WERNER ENTERPRISES	0,04%
VIASAT	0,04%
SERCO GROUP	0,04%
ONEMAIN HOLDINGS	0,04%
SAAB B	0,04%
HEXPOL B	0,04%
MITSUI OSK LINES	0,04%
ZENSHO HOLDINGS CO	0,04%
OLIN CORP	0,04%
NORTHWEST NATURAL GAS CO	0,04%
BEACH ENERGY	0,04%
BUCHER INDUSTRIES	0,04%
MURPHY OIL CORP	0,04%
EMBRACER GROUP B	0,04%
STADLER RAIL	0,04%
PLURALSIGHT A	0,03%
ALBANY INTERNATIONAL A	0,03%
EQUINOX GOLD	0,03%
WALLENSTAM B	0,03%
IHI CORP	0,03%
METCASH	0,03%
CNX RESOURCES	0,03%
WESTLAKE CHEMICAL CORP	0,03%
DAIWA OFFICE INV CORP	0,03%
NORDSTROM	0,03%
RENISHAW	0,03%
FP CORP	0,03%
UBE INDUSTRIES	0,03%
JAPAN HOTEL REIT INV	0,03%
GMO INTERNET	0,03%
HAMILTON LANE A	0,03%
EURONAV	0,03%
PLAINS GP HOLDINGS A	0,03%
MOELIS	0,03%
HYSAN DEVELOPMENT	0,03%
ALCOA (NEW)	0,03%
ULTRA ELECTRONIC HLDGS	0,03%
HANG LUNG GROUP	0,03%
ALK-ABELLO B	0,03%
UNDER ARMOUR A	0,03%
MOOG A	0,03%
SUMMIT MATERIALS A	0,03%
MITSUI FUDOSAN LOGISTICS	0,03%
KRATOS DEFENSE	0,03%
SOFTCAT	0,03%
LEROY SEAFOOD GROUP	0,03%
TRANSALTA CORP	0,03%
SOUTHWESTERN ENERGY CO	0,03%
WORLD FUEL SERVICES CORP	0,03%
PAREX RESOURCES	0,03%
IREN	0,03%
CLEARWAY ENERGY C	0,03%
FLUOR CORP	0,03%
BENEFIT ONE	0,03%
UNDER ARMOUR C	0,03%
UNITI GROUP	0,03%
COVETRUS	0,03%
APPIAN A	0,03%
AGGREKO	0,03%
HYPOPORT	0,03%
AEROVIRONMENT	0,03%
NIPPON REIT INVESTMENT	0,03%
GRAHAM HOLDINGS CO B	0,03%
COMPUTACENTER	0,03%
GEO GROUP	0,03%
COHEN & STEERS	0,03%
SSAB B	0,03%
BOSKALIS WESTMINSTE CERT	0,03%
SEVEN GROUP HOLDINGS	0,03%
TOYO TIRE CORP	0,03%
SFS GROUP	0,03%
UNIPOL GRUPPO FINAN	0,03%
OTTER TAIL CORP	0,03%
ECHOSTAR HOLDING A	0,03%
BUZZI UNICEM	0,03%
CORECIVIC	0,03%
SAIPEM	0,03%
RWS HOLDINGS	0,03%
ARC RESOURCES	0,03%
AVIS BUDGET GROUP	0,03%
ARCONIC CORP	0,03%
NIPPON PAPER INDUSTRIES	0,03%
KAZ MINERALS	0,03%
HUFVUDSTADEN A	0,03%
FITBIT INC A	0,03%
US STEEL CORP	0,03%
DAILY MAIL & GEN TRUST A	0,03%
VECTOR GROUP LTD	0,03%
DE'LONGHI	0,03%
TOKUYAMA CORP	0,03%
VIRTU FINANCIAL A	0,03%
KEPPEL INFRASTRUCTURE TR	0,03%
PRAIRIESKY ROYALTY LTD	0,03%
RANGE RESOURCES CORP	0,03%
PALTAC CORP	0,03%
EASYJET	0,03%
BREMBO	0,03%
DAETWYLER HOLDING INH	0,03%
FUJI OIL HOLDINGS	0,03%
DUFRY GROUP	0,03%
ROCKET INTERNET	0,03%
CAL-MAINE FOODS	0,03%
BEACON ROOFING SUPPLY	0,02%
NATIONAL GENERAL HLDGS	0,02%
CENTRAL GARDEN & PET A	0,02%
ERG SPA	0,02%
COTY A	0,02%
KONGSBERG GRUPPEN	0,02%
KOEI TECMO HOLDINGS CO	0,02%
ASTM	0,02%
PDC ENERGY	0,02%
NIPPO CORP	0,02%
FORTUNE REAL ESTATE (HK)	0,02%
