Period,Return
12/30/1994,0.00961
1/31/1995,-0.005586316
2/28/1995,0.010169627
3/31/1995,0.025281508
4/28/1995,0.016118174
5/31/1995,0.024399478
6/30/1995,0.010320041
7/31/1995,0.035646027
8/31/1995,-0.037085765
9/29/1995,0.020265747
10/31/1995,-0.020132841
11/30/1995,-0.025270361
12/29/1995,0.017625581
1/31/1996,0.003939374
2/29/1996,0.04314466
3/29/1996,0.019850065
4/30/1996,0.010363906
5/31/1996,0.025348347
6/28/1996,0.001671514
7/31/1996,-0.016812402
8/30/1996,0.017626043
9/30/1996,-0.008731257
10/31/1996,0.023160339
11/29/1996,0.031047525
12/31/1996,0.029075888
1/31/1997,0.017978643
2/28/1997,0.010254107
3/31/1997,0.024971931
4/30/1997,-0.025480985
5/30/1997,0.037244355
6/30/1997,0.0164589
7/31/1997,-0.00065113
8/29/1997,0.003393811
9/30/1997,0.057257029
10/31/1997,-0.004231797
11/28/1997,-0.017893816
12/31/1997,0.002981428
1/30/1998,0.02930592
2/27/1998,0.075239993
3/31/1998,0.095086513
4/30/1998,0.034433424
5/29/1998,0.043380424
6/30/1998,-0.037647418
7/31/1998,-0.012101733
8/31/1998,-0.114194816
9/30/1998,-0.049845093
10/30/1998,0.024810013
11/30/1998,0.021457438
12/31/1998,0.010776525
1/29/1999,-0.018670279
2/26/1999,-0.004020361
3/31/1999,0.016629479
4/30/1999,0.049278733
5/31/1999,-0.010386871
6/30/1999,0.009634782
7/30/1999,0.033113649
8/31/1999,0.013110722
9/30/1999,-0.00859318
10/29/1999,-0.016352454
11/30/1999,-0.003581967
12/31/1999,0.057218423
1/31/2000,-0.009069276
2/29/2000,0.02586149
3/31/2000,-0.002073511
4/28/2000,-0.0531047
5/31/2000,0.004186589
6/30/2000,0.040040944
7/31/2000,-0.01052748
8/31/2000,0.000296162
9/29/2000,-0.02027831
10/31/2000,-0.043049624
11/30/2000,0.002866012
12/29/2000,0.071647555
1/31/2001,0.036974203
2/28/2001,-0.013788642
3/30/2001,-0.077155357
4/30/2001,0.048464697
5/31/2001,-0.001428756
6/29/2001,-0.040730101
7/31/2001,0.001111352
8/31/2001,0.0120477
9/28/2001,-0.138169327
10/31/2001,0.036635361
11/30/2001,0.054435836
12/31/2001,0.0188019
1/31/2002,-0.012120811
2/28/2002,0.017463526
3/29/2002,0.060749509
4/30/2002,0.04686116
5/31/2002,0.031381869
6/28/2002,-0.040652955
