Period,Return
12/30/1994,0.01966
1/31/1995,-0.002755821
2/28/1995,0.044362492
3/31/1995,0.012401597
4/28/1995,0.024666784
5/31/1995,0.021467798
6/30/1995,0.040904648
7/31/1995,0.052709313
8/31/1995,0.022521025
9/29/1995,0.014331715
10/31/1995,-0.042606595
11/30/1995,0.039569755
12/29/1995,0.019774211
1/31/1996,0.002341993
2/29/1996,0.024118425
3/29/1996,0.029689447
4/30/1996,0.044744246
5/31/1996,0.033542392
6/28/1996,-0.024893857
7/31/1996,-0.069091312
8/30/1996,0.052907496
9/30/1996,0.035036548
10/31/1996,-0.004633041
11/29/1996,0.044702044
12/31/1996,0.02024961
1/31/1997,0.025140851
2/28/1997,-0.00769168
3/31/1997,-0.037763882
4/30/1997,0.002490243
5/30/1997,0.100188107
6/30/1997,0.063297172
7/31/1997,0.053707895
8/29/1997,0.023794332
9/30/1997,0.076470435
10/31/1997,-0.03483396
11/28/1997,-0.000664837
12/31/1997,0.0147612
1/30/1998,-0.013388082
2/27/1998,0.074733576
3/31/1998,0.044340311
4/30/1998,0.010999479
5/29/1998,-0.044981023
6/30/1998,-0.009746337
7/31/1998,-0.073402611
8/31/1998,-0.177497965
9/30/1998,0.049249829
10/30/1998,0.039765251
11/30/1998,0.049706587
12/31/1998,0.040316859
1/29/1999,0.002481759
2/26/1999,-0.082508555
3/31/1999,0.000512889
4/30/1999,0.098401944
5/31/1999,0.022198774
6/30/1999,0.042004129
7/30/1999,-0.019126724
8/31/1999,-0.041509672
9/30/1999,-0.017193254
10/29/1999,-0.01649408
11/30/1999,0.03450571
12/31/1999,0.047575142
1/31/2000,-0.035989245
2/29/2000,0.023943775
3/31/2000,0.042818999
4/28/2000,-0.032505696
5/31/2000,-0.027552249
6/30/2000,0.027364153
7/31/2000,0.016156157
8/31/2000,0.058431309
9/29/2000,-0.016774975
10/31/2000,-0.020319897
11/30/2000,-0.040328596
12/29/2000,0.092333038
1/31/2001,0.105272109
2/28/2001,-0.039305642
3/30/2001,-0.036833786
4/30/2001,0.063387246
5/31/2001,0.047110917
6/29/2001,0.027459334
7/31/2001,-0.013085421
8/31/2001,-0.013169777
9/28/2001,-0.133855948
10/31/2001,0.042056816
11/30/2001,0.080662286
12/31/2001,0.13039014
1/31/2002,0.006301451
2/28/2002,0.001458417
3/29/2002,0.093527977
4/30/2002,0.025606878
5/31/2002,-0.030902134
6/28/2002,-0.063563663
7/31/2002,-0.137687451
8/30/2002,0.001904984
9/30/2002,-0.087032548
10/31/2002,0.022759094
11/29/2002,0.084963859
