Fund Holdings as of,"07/jun/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AAPL","APPLE INC","IT","Aandelen","2.016.527.824,56","4,46","2.016.527.824,56","13.560.136,00","148,71","Verenigde Staten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aandelen","1.610.672.562,50","3,57","1.610.672.562,50","5.910.725,00","272,50","Verenigde Staten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Luxe-consumentengoederen","Aandelen","933.217.605,00","2,07","933.217.605,00","7.587.135,00","123,00","Verenigde Staten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communicatie","Aandelen","585.482.742,13","1,30","585.482.742,13","249.887,00","2.342,99","Verenigde Staten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communicatie","Aandelen","551.953.999,44","1,22","551.953.999,44","235.416,00","2.344,59","Verenigde Staten","NASDAQ","USD"
"TSLA","TESLA INC","Luxe-consumentengoederen","Aandelen","522.445.140,00","1,16","522.445.140,00","729.000,00","716,66","Verenigde Staten","NASDAQ","USD"
"NVDA","NVIDIA CORP","IT","Aandelen","391.499.450,80","0,87","391.499.450,80","2.068.580,00","189,26","Verenigde Staten","NASDAQ","USD"
"JNJ","JOHNSON & JOHNSON","Gezondheidszorg","Aandelen","390.722.787,58","0,87","390.722.787,58","2.190.887,00","178,34","Verenigde Staten","New York Stock Exchange Inc.","USD"
"UNH","UNITEDHEALTH GROUP INC","Gezondheidszorg","Aandelen","389.477.850,00","0,86","389.477.850,00","783.500,00","497,10","Verenigde Staten","New York Stock Exchange Inc.","USD"
"FB","META PLATFORMS INC CLASS A","Communicatie","Aandelen","376.843.812,80","0,83","376.843.812,80","1.926.112,00","195,65","Verenigde Staten","NASDAQ","USD"
"XOM","EXXON MOBIL CORP","Energie","Aandelen","362.616.378,02","0,80","362.616.378,02","3.507.946,00","103,37","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financiële waarden","Aandelen","335.481.921,90","0,74","335.481.921,90","1.069.606,00","313,65","Verenigde Staten","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Financiële waarden","Aandelen","318.167.868,96","0,70","318.167.868,96","2.446.128,00","130,07","Verenigde Staten","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","IT","Aandelen","295.117.036,50","0,65","295.117.036,50","1.375.837,00","214,50","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Basis-consumentengoederen","Aandelen","292.035.021,36","0,65","292.035.021,36","1.987.444,00","146,94","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energie","Aandelen","291.608.109,40","0,65","291.608.109,40","1.618.247,00","180,20","Verenigde Staten","New York Stock Exchange Inc.","USD"
